id workload_type submission_time scheduled_by num_tasks cpus_per_task mem_per_task estimated_task_duration queue_time_till_first_scheduled queue_time_till_fully_scheduled makespan data_center_utilization_at_submission on_machines off_machines shutting_down_machines turning_on_machines
3501 Batch 251.03 MesosBatch-2 256 0.30 0.50 139.61 0.0110 0.0110 191.81 0.2581 1000 0 0 0
3502 Batch 251.10 MesosBatch-3 93 0.30 0.50 29.78 52.1456 52.1456 49.38 0.2581 1000 0 0 0
3503 Batch 434.03 MesosBatch-4 112 0.30 0.50 106.24 0.0110 0.0110 129.64 0.2773 1000 0 0 0
3504 Batch 548.47 MesosBatch 97 0.30 0.50 58.70 0.0110 0.0110 79.10 0.2665 1000 0 0 0
3505 Batch 560.68 MesosBatch-2 794 0.30 0.50 53.50 8.2152 8.2152 213.30 0.2665 1000 0 0 0
3506 Batch 1539.77 MesosBatch-3 191 0.30 0.50 231.41 0.0110 0.0110 270.61 0.2581 1000 0 0 0
3507 Batch 1540.66 MesosBatch-4 63 0.30 0.50 147.55 38.3324 38.3324 161.15 0.2581 1000 0 0 0
3508 Batch 1661.65 MesosBatch 255 0.30 0.50 92.77 0.0110 0.0110 144.77 0.2772 1000 0 0 0
3509 Batch 1694.30 MesosBatch-2 10 0.30 0.50 69.30 19.3716 19.3716 72.30 0.2772 1000 0 0 0
3510 Batch 1748.26 MesosBatch-3 21 0.30 0.50 60.19 0.0110 0.0110 65.39 0.2923 1000 0 0 0
3511 Batch 2118.35 MesosBatch-4 13 0.30 0.50 84.76 0.0110 0.0110 88.36 0.2698 1000 0 0 0
3512 Batch 2157.92 MesosBatch 13 0.30 0.50 109.84 0.0110 0.0110 113.44 0.2707 1000 0 0 0
3513 Batch 2170.12 MesosBatch-2 246 0.30 0.50 249.01 0.0110 0.0110 299.21 0.2717 1000 0 0 0
3514 Batch 2170.15 MesosBatch-3 60 0.30 0.50 35.85 50.1978 50.1978 48.85 0.2717 1000 0 0 0
3515 Batch 2236.66 MesosBatch-4 279 0.30 0.50 41.93 0.0110 0.0110 98.73 0.2937 1000 0 0 0
3516 Batch 2236.73 MesosBatch 186 0.30 0.50 165.55 56.7460 56.7460 203.75 0.2937 1000 0 0 0
3517 Batch 2578.73 MesosBatch-2 35 0.30 0.50 36.67 0.0110 0.0110 44.67 0.2704 1000 0 0 0
3518 Batch 2595.52 MesosBatch-3 88 0.30 0.50 50.07 0.0110 0.0110 68.67 0.2730 1000 0 0 0
3519 Batch 2641.24 MesosBatch-4 47 0.30 0.50 1.55 0.0110 0.0110 11.95 0.2781 1000 0 0 0
3520 Batch 2763.32 MesosBatch 329 0.30 0.50 69.17 0.0110 0.0110 135.97 0.2719 1000 0 0 0
3521 Batch 2765.63 MesosBatch-2 38 0.30 0.50 8.27 64.5152 64.5152 16.87 0.2719 1000 0 0 0
3522 Batch 2765.65 MesosBatch-3 182 0.30 0.50 42.79 88.9193 88.9193 80.19 0.2719 1000 0 0 0
3523 Batch 2767.51 MesosBatch-4 74 0.30 0.50 101.60 71.2403 71.2403 117.40 0.2719 1000 0 0 0
3524 Batch 2812.47 MesosBatch 277 0.30 0.50 32.09 79.5053 79.5053 88.49 0.2719 1000 0 0 0
3525 Batch 3095.03 MesosBatch-2 140 0.30 0.50 147.39 0.0110 0.0110 176.39 0.2709 1000 0 0 0
3526 Batch 3108.94 MesosBatch-3 494 0.30 0.50 82.18 242.0816 242.0816 184.18 0.2709 1000 0 0 0
